source_signature,row_count,taxonomy_group,source_resolution_level,source_species_normalized,source_organism_name,bacdive_status_closure,species_validation_status,candidate_rescue_status,raw_cache_files_seen,missing_cache_files,cache_record_count_total_before_species_filter,representative_bacdive_record_count,record_count_with_culture_collection,unique_culture_collection_count,has_any_culture_collection,type_strain_record_count,has_type_strain_record,culture_medium_record_count,unique_culture_medium_count,has_any_culture_medium,isolation_source_record_count,unique_isolation_source_count,has_any_isolation_source,country_record_count,unique_country_count,has_any_country,genome_accession_record_count,unique_genome_accession_count,has_any_genome_accession,inclusion_basis_counts,example_culture_collections,example_strain_designations,example_culture_media,example_isolation_sources
taxon:29320|organism:paenarthrobacter nicotinovorans (arthrobacter nicotinovorans),36,target_bacteria,taxon_organism,paenarthrobacter nicotinovorans,Paenarthrobacter nicotinovorans (Arthrobacter nicotinovorans),bacdive_species_exact_name_match,validated_species_exact_name,not_candidate_row,2,0,4,2,2,14,True,1,True,2,10,True,1,1,True,1,1,True,1,3,True,"{""normalized_species_exact"": 2}",DSM 117385; DSM 420; ATCC 49919; JCM 3874; CGMCC 1.1933; CIP 106990; IAM 14587; IFO 15511; KCTC 9902; LMG 16253; NBRC 15511; NCAIM B.02133; NCAIM B.02288; VKM Ac-1988,CT11-39,TRYPTICASE SOY YEAST EXTRACT MEDIUM (DSMZ Medium 92); CORYNEBACTERIUM AGAR (DSMZ Medium 53); ISP 2; ISP 3; ISP 4,Wheat root grown in field soil
taxon:623|organism:shigella flexneri,562,target_bacteria,taxon_organism,shigella flexneri,Shigella flexneri,bacdive_species_exact_name_match,validated_species_exact_name,not_candidate_row,2,0,96,48,48,69,True,1,True,35,7,True,17,13,True,22,12,True,2,3,True,"{""normalized_species_exact"": 48}",CCUG 56027; CCUG 43875; CCUG 39080; CCUG 38947; CCUG 37906; CCUG 37890; CCUG 29416; CCUG 29415; CCUG 29413; CCUG 29412; CCUG 21270; CCUG 21251; CCUG 9566; NCTC 1; CIP 107659; ATCC 700930; CIP 106236; CIP 106197; CIP 106193; CIP 106192,"2457T; 80; M181, 40; 36, M174; 92; M148, 30; 44, M190; 7, M32; Zaboli; 145-48; Boyd 102; Ledingham; 164; 26 D; Z Withington; 3591-52; Ratcliffe; 24 D; 935; 53125",MEDIUM 72- for trypto casein soja agar; CIP Medium 72; MEDIUM 3 - Columbia agar; CIP Medium 3; CIP Medium 29,"Human feces,35-yr-old man; Human feces,diarrhoea; Human feces,3-yr-old patient with diarrea for 48h; Human feces; Human feces,diarrhea"
taxon:83334|organism:escherichia coli o157:h7,767,target_bacteria,taxon_organism,escherichia coli,Escherichia coli O157:H7,bacdive_species_exact_name_match,validated_species_exact_name,not_candidate_row,4,0,400,200,200,423,True,0,False,83,19,True,10,13,True,4,3,True,18,53,True,"{""normalized_species_exact"": 200}",DSM 6215; ATCC 37371; DSM 6214; ATCC 39531; DSM 6213; ATCC 41036; DSM 6212; ATCC 37375; DSM 6202; ATCC 37032; DSM 6201; ATCC 35673; DSM 6197; ATCC 47019; DSM 6196; ATCC 47018; DSM 6189; ATCC 37064; CCRC 41300; DSM 6188,"pfdB2; K12 MC1000, MC1000; pHB-1; pfdA2; pSC101; K12 HB101 DB6507, DB6507, FD 27747, HB101 DB6507; K12 Q359, Q359; K12 Q358, Q358; YIP33; DP50; YEp24; YIp5; pSP65; K12 TG1, TG1; pBluescribe M13-, PC-V3046; PC-V3138, pYAC3; PC-V3058, pGEM-3Zf(-); PC-V3057, pGEM-3Zf(+); pBluescribe M13+, PC-V3045; pBGS8, PC-V3012",LB (Luria-Bertani) MEDIUM (DSMZ Medium 381); NUTRIENT AGAR (DSMZ Medium 1); Mineral medium M9 for E. coli JM strains (DSMZ Medium 382); MEDIUM 72- for trypto casein soja agar; CIP Medium 72,"Canine; Animal, Canine; food; freshwater (river, lake, pond); faeces"
taxon:90370|organism:salmonella typhi,493,target_bacteria,taxon_organism,salmonella enterica,Salmonella typhi,bacdive_species_exact_name_match,validated_species_exact_name,not_candidate_row,4,0,400,200,200,376,True,6,True,199,18,True,57,42,True,70,21,True,28,83,True,"{""base_binomial_match_or_subspecies"": 46, ""normalized_species_exact"": 154}",CIP 55.38; NCTC 8386; CIP 107479; CCUG 46434; CIP 55.29; CIP 55.28; NCTC 7309; CIP 55.27; NCTC 7299; CIP 55.26; NCTC 7315; CIP 55.24; CIP 55.23; NCTC 7303; CIP 55.21; NCTC 7332; CIP 107125; CIP 54.143; CIP 54.140; CIP 54.139,"82K; 91K; 585K; 61; 19, M73; 13, M50; 69K; LT2; C52; S-6; Eastafrica; TA1538; 254; I137; M327, 71; 88, M453; 87, M452; M439, 86; M248, 58; M244, 57",MEDIUM 3 - Columbia agar; CIP Medium 3; MEDIUM 72- for trypto casein soja agar; CIP Medium 72; MEDIUM 29- Brain heart agar,"Human, Faeces; Poult, intestine; Gopher snake, lung; Dried egg powder; Turkey, conjunctivitis"
proteome:UP000001419,419,target_bacteria,proteome,mycobacterium tuberculosis,Mycobacterium bovis (strain ATCC BAA-935 / AF2122/97),bacdive_species_exact_name_match,validated_species_exact_name,not_candidate_row,7,0,368,184,184,317,True,3,True,111,7,True,138,33,True,134,10,True,6,6,True,"{""normalized_species_exact"": 78, ""validated_bacdive_id_from_closure"": 106}",CRBIP7.113; CIPT 113; CRBIP7.112; CIPT 112; CRBIP7.108; CIPT 108; CIP 105050; ATCC 35734; CCUG 38152; TMC 1011; CIP 111338; CIP 111337; CIP 111336; CIP 111335; CIP 111334; CIP 111333; CIP 111332; CIP 111331; CRBIP7.96; CIPT 96,140080007; 140080006; 140080010; 140040001; MYC 4436; MYC 4429; MYC 4426; MYC 4423; MYC 4416; MYC 4404; MYC 4403; MYC 4401; 140020086; 140020085; 140020084; 140020022; 140020021; 140020019; 140020017; 140020016,Löwenstein-Jensen Medium; CIP Medium 72; CIP Medium 55; CIP Medium 750; CIP Medium 267,"Human; Food, Bovine milk; Human, Sputum; Animal, Cow, lymphatic node; Human, Meningitis"
proteome:UP000001020,585,target_bacteria,proteome,mycobacterium tuberculosis,Mycobacterium tuberculosis (strain CDC 1551 / Oshkosh),bacdive_species_exact_name_match,validated_species_exact_name,not_candidate_row,6,0,368,184,184,317,True,3,True,111,7,True,138,33,True,134,10,True,6,6,True,"{""normalized_species_exact"": 78, ""validated_bacdive_id_from_closure"": 106}",CRBIP7.113; CIPT 113; CRBIP7.112; CIPT 112; CRBIP7.108; CIPT 108; CIP 105050; ATCC 35734; CCUG 38152; TMC 1011; CIP 111338; CIP 111337; CIP 111336; CIP 111335; CIP 111334; CIP 111333; CIP 111332; CIP 111331; CRBIP7.96; CIPT 96,140080007; 140080006; 140080010; 140040001; MYC 4436; MYC 4429; MYC 4426; MYC 4423; MYC 4416; MYC 4404; MYC 4403; MYC 4401; 140020086; 140020085; 140020084; 140020022; 140020021; 140020019; 140020017; 140020016,Löwenstein-Jensen Medium; CIP Medium 72; CIP Medium 55; CIP Medium 750; CIP Medium 267,"Human; Food, Bovine milk; Human, Sputum; Animal, Cow, lymphatic node; Human, Meningitis"
taxon:714|organism:aggregatibacter actinomycetemcomitans (actinobacillus actinomycetemcomitans) (haemophilus actinomycetemcomitans),14,target_bacteria,taxon_organism,aggregatibacter actinomycetemcomitans,Aggregatibacter actinomycetemcomitans (Actinobacillus actinomycetemcomitans) (Haemophilus actinomycetemcomitans),bacdive_species_exact_name_match,validated_species_exact_name,not_candidate_row,2,0,162,81,81,105,True,1,True,35,7,True,76,50,True,67,14,True,8,8,True,"{""normalized_species_exact"": 80, ""validated_bacdive_id_from_closure"": 1}",CRBIP17.78; JCM 8579; ATCC 43717; JCM 8577; ATCC 43719; JCM 30399; CCUG 61155; CCUG 58363; CCUG 56173; CCUG 56172; CCUG 51673; CCUG 51672; CCUG 51671; CCUG 51670; CCUG 51669; CCUG 51668; CCUG 51667; CCUG 49496; CCUG 48512; CCUG 46863,"CIMB 04-9350; 283-86; 739.84; Kyritsopoulos; 163.86; 622-86; 440-86; 430-86; 279-86; 63.86; NIBBI 7934, 955-85; 457-85, 31054; A1916; B5279; 120/48-49; 159-87; 241/50-1; 641-86; 759-86; 760-86","CIP Medium 10; MEDIUM 10 - Chocolate medium  for Actinobacillus pleuropneumoniae, Capnocytophaga cynodegmi, Haemophilus and Neisseria; MEDIUM 6 - Columbia agar with 10 % horse blood; CIP Medium 6; CIP Medium 72","Human, Blood; Periodontal pocket; Human blood,84-yr-old man; Human blood,51-yr-old man; Human periodontis ?"
proteome:UP000002512,198,target_bacteria,proteome,streptococcus mutans,Streptococcus mutans serotype c (strain ATCC 700610 / UA159),bacdive_species_exact_name_match,validated_species_exact_name,not_candidate_row,5,0,96,48,48,77,True,1,True,4,9,True,44,37,True,43,3,True,2,7,True,"{""normalized_species_exact"": 48}",JCM 5175; CCUG 69401; CCUG 68963; CCUG 66205; CCUG 61102; CCUG 60222; CCUG 59719; CCUG 59718; CCUG 56427; CCUG 54774; CCUG 52940; CCUG 50477; CCUG 48499; CCUG 48140; CCUG 47111; CCUG 45825; CCUG 45091; CCUG 43520 B; CCUG 43479; CCUG 41890,"10595; 491012; EML 1738; LRA 28 02 81, LRA 028 02 81",MEDIUM 6 - Columbia agar with 10 % horse blood; CIP Medium 6; MEDIUM 3 - Columbia agar; CIP Medium 3; CIP Medium 40,"Human blood,63-yr-old female; Human blood; Human blood,endocarditis,86-yr-old man; Human tissue,73-yr-old woman; Human blood,30-yr-old man,endocarditis"
taxon:285|organism:comamonas testosteroni (pseudomonas testosteroni),39,target_bacteria,taxon_organism,comamonas testosteroni,Comamonas testosteroni (Pseudomonas testosteroni),bacdive_species_exact_name_match,validated_species_exact_name,not_candidate_row,2,0,76,38,38,113,True,1,True,17,10,True,21,21,True,16,8,True,2,5,True,"{""normalized_species_exact"": 38}",JCM 6233; JCM 6231; JCM 6229; IAM 14431; JCM 6228; IAM 14430; JCM 6227; IAM 14429; JCM 6226; IAM 14428; JCM 6225; IAM 14427; JCM 6210; JCM 6209; IAM 14424; JCM 6206; IAM 1176; IAM 14425; JCM 6205; IAM 1123,FD-30; 292-86; 31; N; SPB-2; KF1; wtT-2; PSB-4; RW31; 31A; T-2; 11; R-10-Z,MEDIUM 3 - Columbia agar; CIP Medium 3; CASO AGAR (MERCK 105458) (DSMZ Medium 220); NUTRIENT AGAR (DSMZ Medium 1); R2A MEDIUM (DSMZ Medium 830),"Soil; PCB-contaminated soil; Seawater; Human blood,16-yr-old male; Sediment"
taxon:1597|organism:lacticaseibacillus paracasei (lactobacillus paracasei),3,target_bacteria,taxon_organism,lacticaseibacillus paracasei,Lacticaseibacillus paracasei (Lactobacillus paracasei),bacdive_species_exact_name_match,validated_species_exact_name,not_candidate_row,2,0,162,81,81,169,True,2,True,27,5,True,72,63,True,51,8,True,7,12,True,"{""base_binomial_match_or_subspecies"": 22, ""normalized_species_exact"": 1, ""validated_bacdive_id_from_closure"": 58}",CRBIP24.45; CRBIP24.26; JCM 8133; NCDO 1202; JCM 8131; NCFB 205; NCIMB 2378; NCTC 2378; JCM 2769; JCM 20315; IAM 10074; JCM 1111; JCM 1109; JCM 1053; IAM 1043; DSM 111790; CCUG 55792; CCUG 52643; CCUG 51663; CCUG 51572,"C4; GCRL 163; 25; B41; 9664, A 13, BU 240, Ep 300, Epsilon, PBR 322, PG 18; 28; S; 41; C 17; 40; 85 E; A112/73; A22/73; RO94; No. 59; 7/74; 19/74, 19-74","De Man, Rogosa and Sharpe Agar; Trypticase Soy Agar; CIP Medium 40; MRS MEDIUM (DSMZ Medium 11); MEDIUM 40- for Lactobacillus and Leuconostoc",Milk products; Fermented molasses; Human intestine; Cheddar cheese; Human
taxon:190304|organism:fusobacterium nucleatum subsp. nucleatum (strain atcc 25586 / dsm 15643 / bcrc 10681 / cip 101130 / jcm 8532 / kctc 2640 / lmg 13131 / vpi 4355),138,target_bacteria,taxon_organism,fusobacterium nucleatum,Fusobacterium nucleatum subsp. nucleatum (strain ATCC 25586 / DSM 15643 / BCRC 10681 / CIP 101130 / JCM 8532 / KCTC 2640 / LMG 13131 / VPI 4355),bacdive_species_exact_name_match,validated_species_exact_name,not_candidate_row,10,0,50,21,21,48,True,4,True,6,7,True,19,29,True,15,5,True,5,15,True,"{""base_binomial_match_or_subspecies"": 11, ""normalized_species_exact"": 9, ""validated_bacdive_id_from_closure"": 1}",JCM 6328; CCUG 61856; CCUG 60920; CCUG 57685; CCUG 57321; CCUG 53249; CCUG 52678; CCUG 51834; CCUG 51781; CCUG 45873; CCUG 44169; CCUG 37995; CCUG 15758; CCUG 15725; CCUG 14448; CIP 60.39; DSM 19507; ATCC 49256; CIP 104988; JCM 11023,"1789; EM48; 1612A; SOR, OR; LH 37; 555A",MEDIUM 20 - for Anaerobic bacteria; CIP Medium 20; CHOPPED MEAT MEDIUM (DSMZ Medium 78); COLUMBIA BLOOD MEDIUM (DSMZ Medium 693); PYG MEDIUM (MODIFIED) (DSMZ Medium 104),"Human gingival crevice; Human blood,68-yr-old man; Human throat,35-yr-old man; Human blood,56-yr-old man; Human blood,50-yr-old man"
taxon:1052|organism:halorhodospira halochloris (ectothiorhodospira halochloris),12,target_bacteria,taxon_organism,halorhodospira halochloris,Halorhodospira halochloris (Ectothiorhodospira halochloris),bacdive_species_exact_name_match,validated_species_exact_name,not_candidate_row,2,0,2,1,1,2,True,1,True,1,1,True,1,1,True,1,1,True,1,3,True,"{""normalized_species_exact"": 1}",DSM 1059; JCM 39378,A,MEDIUM FOR ECTOTHIORHODOSPIRA (DSMZ Medium 253),mud and water sample
taxon:1850|organism:actinopolyspora halophila,10,target_bacteria,taxon_organism,actinopolyspora halophila,Actinopolyspora halophila,bacdive_species_exact_name_match,validated_species_exact_name,not_candidate_row,2,0,2,1,1,15,True,1,True,1,1,True,1,2,True,0,0,False,1,1,True,"{""normalized_species_exact"": 1}",DSM 43834; ATCC 27976; IFO 14106; JCM 3278; KCC A-0278; NBRC 14106; NCIB 11472; BCRC 13403; CGMCC 4.1219; IMSNU 20045; IMSNU 21360; KCTC 9127; MTCC 263; NCIMB 11472; VKM Ac-871,,CM + YE MEDIUM (DSMZ Medium 549),dairy salt; Contaminant of complex medium for <I>Halobacterium</I>
taxon:292|organism:burkholderia cepacia (pseudomonas cepacia),24,target_bacteria,taxon_organism,burkholderia cepacia,Burkholderia cepacia (Pseudomonas cepacia),bacdive_species_exact_name_match,validated_species_exact_name,not_candidate_row,4,0,220,110,110,158,True,1,True,21,13,True,76,62,True,74,13,True,3,9,True,"{""normalized_species_exact"": 110}",ST033781; ST033629; ST033628; ST033627; ST033626; ST033625; ST033624; ST033623; ST033622; ST033621; ST033620; ST033619; ST033618; ST033617; ST033616; ST033614; ST033613; ST033612; ST033611; ST033610,4A/90; BF19I8-11; BF14; BF19E8-11; BF18b; BF18; BF17; BF16; BF15; BF13; BF12; BF11; BF10; BF9; BF8; BF6; BF5; BF4; BF3; BF2,Nutrient Agar (NA); MEDIUM 3 - Columbia agar; CIP Medium 3; CIP Medium 72; MEDIUM 72- for trypto casein soja agar,"Clinical specimen; Allium cepa; rotting onion; Human sputum,29-yr-old woman,cystic fibrosis; Human ear,12-yr-old male; Human sputum,28-yr-old woman,cystic fibrosis"
taxon:303|organism:pseudomonas putida (arthrobacter siderocapsulatus),222,target_bacteria,taxon_organism,pseudomonas putida,Pseudomonas putida (Arthrobacter siderocapsulatus),bacdive_species_exact_name_match,validated_species_exact_name,not_candidate_row,4,0,260,130,130,297,True,1,True,67,25,True,89,77,True,70,18,True,18,33,True,"{""normalized_species_exact"": 130}",DSM 114486; DSM 116510; DSM 116234; DSM 115323; JCM 9802; JCM 9800; JCM 9045; JCM 20228; IAM 1629; JCM 20188; ATCC 4359; IAM 1506; JCM 20129; IAM 1250; JCM 20120; IAM 1235; JCM 20112; ATCC 17464; IAM 1219; JCM 20111,"NiuAA7; 116510; 116234; Thor-Nr. 1021; MD 7.3; 776.85; 340-86; 25300, 642-85; A3/9; AmMs 106; TEC1 91-delta 1; S13.1.2; TEC1 407-delta1; TEC1 407.3-delta2; TEC1 407.1-delta 2; TEC1; Z2; SQ1; STI11318; B6-2",COLUMBIA BLOOD MEDIUM (DSMZ Medium 693); TRYPTICASE SOY YEAST EXTRACT MEDIUM (DSMZ Medium 92); MEDIUM 3 - Columbia agar; CIP Medium 3; CIP Medium 72,"Maize root grown in field soil; Urine; Swab; paint; Activated sludge,by enrichment with biphenyl as the sole source of carbon and energy"
taxon:566|organism:pseudescherichia vulneris (escherichia vulneris),12,target_bacteria,taxon_organism,pseudescherichia vulneris,Pseudescherichia vulneris (Escherichia vulneris),bacdive_species_exact_name_match,validated_species_exact_name,not_candidate_row,2,0,30,15,15,28,True,1,True,3,5,True,7,7,True,7,2,True,1,2,True,"{""normalized_species_exact"": 15}",JCM 2132; JCM 2131; JCM 2130; JCM 2129; CCUG 61693; CCUG 26554; CCUG 23001; CCUG 21200; CCUG 21199; CCUG 21151; CCUG 21150; CCUG 21149; CIP 104944; CIP 104943; CCUG 15715; DSM 4564; ATCC 33821; IAM 14239; JCM 1688; NIH 580,"1242-84; 875-72, 580",MEDIUM 3 - Columbia agar; CIP Medium 3; TRYPTICASE SOY YEAST EXTRACT MEDIUM (DSMZ Medium 92); COLUMBIA BLOOD MEDIUM (DSMZ Medium 693); CIP Medium 72,"Human blood,82-yr-old man; Human feces; Human urine; Human; Human wound"
taxon:575|organism:raoultella planticola (klebsiella planticola),2,target_bacteria,taxon_organism,raoultella planticola,Raoultella planticola (Klebsiella planticola),bacdive_species_exact_name_match,validated_species_exact_name,not_candidate_row,2,0,32,16,16,43,True,1,True,6,5,True,8,12,True,6,5,True,3,4,True,"{""normalized_species_exact"": 16}",JCM 20069; ATCC 8329; CDC 1758-51; IAM 1133; IFO 3317; NBRC 3317; NCIMB 8153; CCUG 62696 Q; CCUG 54768; NCTC 9528; CCUG 21208; CCUG 21207; CCUG 21176; CCUG 21175; CCUG 21174; CCUG 21173; CCUG 20939; CIP 53.10; BR 25; CIP 105789,"P33; P11; CRCC 13986, V-236, 4245-72; 78-120",MEDIUM 3 - Columbia agar; CIP Medium 72; CIP Medium 3; NUTRIENT AGAR (DSMZ Medium 1); MEDIUM 72- for trypto casein soja agar,"Human urine,70-yr-old man; Water; Genital tract of a mare; Human, Sputum; Human, Urine"
taxon:577|organism:raoultella terrigena (klebsiella terrigena),5,target_bacteria,taxon_organism,raoultella terrigena,Raoultella terrigena (Klebsiella terrigena),bacdive_species_exact_name_match,validated_species_exact_name,not_candidate_row,2,0,26,13,13,29,True,1,True,4,4,True,12,13,True,10,2,True,1,2,True,"{""normalized_species_exact"": 13}",CCUG 53452; CCUG 46739; CCUG 37449; CCUG 35167; CCUG 33401 A; CCUG 33400 A; CCUG 29957; CCUG 20942; CCUG 20941; DSM 30103; DSM 7333; DSM 7331; DSM 2687; ATCC 33257; CIP 80.07; CCUG 12372 Bb; CIP 80-07; JCM 1687; CUETM 77.176; BCRC 14805,"WS 10199; T64; T56; 84, L84",NUTRIENT AGAR (DSMZ Medium 1); CASO AGAR (MERCK 105458) (DSMZ Medium 220); MEDIUM 29- Brain heart agar; CIP Medium 29,"Human sputum,77-yr-old man; Human bronchus,64-yr-old woman; Industry,fat emulsion; Porcine sperm; Soil contaminated with oil"
taxon:621|organism:shigella boydii,3,target_bacteria,taxon_organism,shigella boydii,Shigella boydii,bacdive_species_exact_name_match,validated_species_exact_name,not_candidate_row,2,0,78,39,39,66,True,1,True,32,6,True,11,6,True,9,9,True,6,9,True,"{""normalized_species_exact"": 39}",CIP 111949; CCUG 45096; CCUG 37893; CCUG 37892; CCUG 37891; CCUG 21261; CCUG 21249; CCUG 9564; NCTC 9357; CIP 58.24; CIP 58.23; ATCC 12033; NCTC 9772; CIP 58.4; CIP 52.53; NCTC 9332; CIP 52.51; NCTC 9330; CIP 51.3; CIP 51.4,"1693; 123; 592; M 279; PSH-125; Congo; 1296/7; 6917; 426/FA; type; 425; 55; 54125; A12; H 21582; Nil-2-c; D 27; 140/56, 5518/56; 703; 2770/51",CIP Medium 72; MEDIUM 3 - Columbia agar; CIP Medium 3; MEDIUM 72- for trypto casein soja agar; TRYPTICASE SOY YEAST EXTRACT MEDIUM (DSMZ Medium 92),"Human, Stools; Human feces; Human faeces,contracted in Turkey; Human feces,44-yr-old man; Faeces"
taxon:622|organism:shigella dysenteriae,7,target_bacteria,taxon_organism,shigella dysenteriae,Shigella dysenteriae,bacdive_species_exact_name_match,validated_species_exact_name,not_candidate_row,2,0,104,52,52,62,True,1,True,46,8,True,8,7,True,25,10,True,2,3,True,"{""normalized_species_exact"": 52}",CCUG 39701; CCUG 37889; CCUG 37888; CCUG 37887; CCUG 29414; CCUG 18713; CIP 106198; CIP 52.33; CIP 56.33; CIP 56.16; CIP 53.136; CIP 53.135; CIP 52.123; NCTC 9763; CIP 52.121; CIP 58.15; NCTC 9350; CIP 54.50; CIP 54.49; CIP 52.32,"41, M183; 120; 52287; 1768-53; 1046-50; 4388-50; 1012; 9D; Norwich; Bucarest R; Bagdad 57/46; Bucarest S; 4325; 1048-50; 6270; 41; 309; 588; 54268; 54921",MEDIUM 72- for trypto casein soja agar; CIP Medium 72; MEDIUM 3 - Columbia agar; CIP Medium 3; MEDIUM 29- Brain heart agar,"Human feces; Human faeces; Human, Faeces; Feces; Human"
taxon:624|organism:shigella sonnei,4,target_bacteria,taxon_organism,shigella sonnei,Shigella sonnei,bacdive_species_exact_name_match,validated_species_exact_name,not_candidate_row,2,0,54,27,27,38,True,1,True,16,8,True,14,8,True,15,6,True,2,4,True,"{""normalized_species_exact"": 27}",CCUG 63282; CCUG 46081; CCUG 42208; CCUG 37894; CCUG 35690; CCUG 34429; CCUG 26943; CCUG 26684; CCUG 26076; CCUG 19136; CCUG 9567; NCTC 9774; CIP 52.55; CIP 106204; CIP 67.63; CIP 106470; CIP 106347; CIP 106346; CIP 104223; ATCC 25931,"47, M200; 545/78; CNRSS 99 9901; CNRSS 99 9842; 1120-66; St9; Descamps; CNRSS 99 9844; Cabrera; 46; I virulent",MEDIUM 72- for trypto casein soja agar; CIP Medium 72; MEDIUM 3 - Columbia agar; CIP Medium 3; CIP Medium 6,"Human blood; Human feces,diarrhoea; Human; Human feces; Human feces,30-yr-old man"
taxon:35703|organism:citrobacter amalonaticus,2,target_bacteria,taxon_organism,citrobacter amalonaticus,Citrobacter amalonaticus,bacdive_species_exact_name_match,validated_species_exact_name,not_candidate_row,2,0,30,15,15,29,True,1,True,6,7,True,12,11,True,11,5,True,1,3,True,"{""normalized_species_exact"": 15}",CRBIP19.236; CCUG 29878; CCUG 29876; CCUG 29875; CCUG 29874; CCUG 29873; CCUG 29870; CCUG 29869; CCUG 29868; CCUG 26551; CIP 106468; ATCC 25406; NCTC 10806; CIP 105011; CIP 104932; DSM 17342; CCUG 4860; CECT 863; DSM 4593; ATCC 25405,UPEC_105.165.0411; 9542; 3314-73; 1444-80; G,Luria-Bertani Medium; CIP Medium 368; MEDIUM 3 - Columbia agar; CIP Medium 3; CASO AGAR (MERCK 105458) (DSMZ Medium 220),"Human ear,otitis externa; Human cerebrospinal fluid,meningitis; Human stool; Human stool,gastroenteritis; Hospital environment"
taxon:545|organism:citrobacter koseri (citrobacter diversus),2,target_bacteria,taxon_organism,citrobacter koseri,Citrobacter koseri (Citrobacter diversus),bacdive_species_exact_name_match,validated_species_exact_name,not_candidate_row,2,0,68,34,34,66,True,1,True,13,10,True,29,18,True,28,6,True,3,3,True,"{""normalized_species_exact"": 34}",CCUG 55990; CCUG 55438; CCUG 44448; CCUG 35708; CCUG 33803; CCUG 29881; CCUG 29880; CCUG 26653; CCUG 25452; CCUG 21861; CCUG 17211; CCUG 6741; CCUG 6640; CCUG 6639; CCUG 6597; CCUG 6266; CCUG 5885; CCUG 5847 A; CCUG 5071; CCUG 4427,8127-86; Riehli; Cd4; 32; 1381-70; 9910; 3613-63,MEDIUM 3 - Columbia agar; CIP Medium 3; MEDIUM 72- for trypto casein soja agar; CIP Medium 72; MEDIUM 29- Brain heart agar,"Human sputum,38-yr-old man,cystic fibrosis; Human sputum,37-yr-old man; Human wound,80-yr-old man; Human blood; Human"
taxon:546|organism:citrobacter freundii,22,target_bacteria,taxon_organism,citrobacter freundii,Citrobacter freundii,bacdive_species_exact_name_match,validated_species_exact_name,not_candidate_row,2,0,178,89,89,119,True,1,True,19,11,True,50,40,True,52,10,True,3,8,True,"{""normalized_species_exact"": 89}",STI10788; SF002749; SF002740; DSM 118500; DSM 118267; DSM 117908; DSM 117906; DSM 117645; DSM 117613; DSM 117612; CRBIP17.45; JCM 2649; JCM 2648; JCM 2647; JCM 2646; JCM 2645; JCM 2644; JCM 2643; JCM 2642; JCM 2641,"IMET 10788; 10788; FSU-2740; TX 5622; 4734; 2167; 1485; TRS1-B4; 2055, TX 2055; 2053, TX 2053; CIMB 05-2142; BWKH 142; 621-64; 1024; B, strain B; LRA 117.03.76; B080",TRYPTICASE SOY YEAST EXTRACT MEDIUM (DSMZ Medium 92); COLUMBIA BLOOD MEDIUM (DSMZ Medium 693); CIP Medium 72; LB (Luria-Bertani) MEDIUM (DSMZ Medium 381); Tryptic Soy Agar (TSA),"human; Swab, human; Swab, ileum (human); Aurelia aurita medusa Baltic Sea; swab, rectum"
taxon:1402|organism:bacillus licheniformis,13,target_bacteria,taxon_organism,bacillus licheniformis,Bacillus licheniformis,bacdive_species_exact_name_match,validated_species_exact_name,not_candidate_row,4,0,242,121,121,194,True,1,True,78,9,True,101,67,True,98,14,True,17,25,True,"{""normalized_species_exact"": 121}",CCUG 44512; CCUG 43512 A; CCUG 43486; CCUG 43412; CCUG 43411; CCUG 43410; CCUG 43409; CCUG 43407; CCUG 43406; CCUG 43405; CCUG 43404; CCUG 42605; CCUG 42256; CCUG 41881; CCUG 41786; CCUG 41471; CCUG 41470; CCUG 41412; CCUG 41410; CCUG 39222,"1265, 601; 681.86; 897.85; 202-86; 201-86; 662.85; 380-86; KG9; BS 3; 506.86; 379-86; 2151; 666.81; 6.87; 10.87; 719.86; 665.81, BS3; 664.81, As-16-3; Stev55; P-11",MEDIUM 3 - Columbia agar; CIP Medium 3; CIP Medium 72; MEDIUM 72- for trypto casein soja agar; CASO AGAR (MERCK 105458) (DSMZ Medium 220),"Industry; Food; Water; Human blood; Laminar flow cabinet,contaminant"
taxon:562|organism:escherichia coli,81,target_bacteria,taxon_organism,escherichia coli,Escherichia coli,bacdive_species_exact_name_match,validated_species_exact_name,not_candidate_row,4,0,400,200,200,423,True,0,False,83,19,True,10,13,True,4,3,True,18,53,True,"{""normalized_species_exact"": 200}",DSM 6215; ATCC 37371; DSM 6214; ATCC 39531; DSM 6213; ATCC 41036; DSM 6212; ATCC 37375; DSM 6202; ATCC 37032; DSM 6201; ATCC 35673; DSM 6197; ATCC 47019; DSM 6196; ATCC 47018; DSM 6189; ATCC 37064; CCRC 41300; DSM 6188,"pfdB2; K12 MC1000, MC1000; pHB-1; pfdA2; pSC101; K12 HB101 DB6507, DB6507, FD 27747, HB101 DB6507; K12 Q359, Q359; K12 Q358, Q358; YIP33; DP50; YEp24; YIp5; pSP65; K12 TG1, TG1; pBluescribe M13-, PC-V3046; PC-V3138, pYAC3; PC-V3058, pGEM-3Zf(-); PC-V3057, pGEM-3Zf(+); pBluescribe M13+, PC-V3045; pBGS8, PC-V3012",LB (Luria-Bertani) MEDIUM (DSMZ Medium 381); NUTRIENT AGAR (DSMZ Medium 1); Mineral medium M9 for E. coli JM strains (DSMZ Medium 382); MEDIUM 72- for trypto casein soja agar; CIP Medium 72,"Canine; Animal, Canine; food; freshwater (river, lake, pond); faeces"
